id,strava_activity_id,activity_name,distance,elapsed_time,moving_time,date,elevation_gain,average_heartrate,max_heartrate,final_time,final_distance,event_name,has_polyline,polyline_length,source,year,month,day_of_week,hour,pace_min_per_km,distance_km,time_minutes,is_parkrun,distance_category
493,9635739263,City2Surf 2023,14106.2,3727,3723,2023-08-13 07:52:00+00:00,203.0,187.0,200.0,3723,14106.2,City2Surf,1,1083.0,oauth,2023,8,6,7,4.398775006734627,14.106200000000001,62.05,False,10-15km
674,9635671495,City 2 Surf - 65:16,13955.0,3917,3917,2023-08-13 07:41:47+00:00,197.0,159.1,175.0,3917,13955.0,City2Surf,1,1081.0,oauth,2023,8,6,7,4.67813209124567,13.955,65.28333333333333,False,10-15km
4393,9635677998,City2Surf 2023,14054.0,3938,3938,2023-08-13 07:41:45+00:00,199.9,162.9,175.0,3938,14054.0,City2Surf,1,1049.0,oauth,2023,8,6,7,4.670082064418197,14.054,65.63333333333334,False,10-15km
2522,9635876343,City2surf ,13963.0,3701,3701,2023-08-13 07:41:38+00:00,204.0,165.5,186.0,3701,13963.0,City2Surf,1,1076.0,oauth,2023,8,6,7,4.417627539449498,13.963,61.68333333333333,False,10-15km
846,9635709776,City2surf 2023,13967.8,3751,3751,2023-08-13 07:40:36+00:00,191.7,170.2,194.0,3751,13967.8,City2Surf,1,1047.0,oauth,2023,8,6,7,4.475770462540033,13.967799999999999,62.516666666666666,False,10-15km
847,9590312700,Bayrun 2023,7132.4,1841,1836,2023-08-06 08:01:49+00:00,23.6,166.3,181.0,1836,7132.4,,1,664.0,oauth,2023,8,6,8,4.290280971342045,7.1324,30.6,False,5-10km
2523,9502825630,SH 10k,10069.7,2534,2534,2023-07-23 08:30:51+00:00,18.0,165.0,183.0,2534,10069.7,,1,1036.0,oauth,2023,7,6,8,4.1941004531747055,10.069700000000001,42.233333333333334,False,10-15km
3122,9458705094,Sutherland 2 Surf,11087.8,2785,2785,2023-07-16 07:30:07+00:00,72.0,175.1,185.0,2785,11087.8,,1,670.0,oauth,2023,7,6,7,4.186282821359211,11.0878,46.416666666666664,False,10-15km
854,9248916130,Sri Chinmoy HM Lennox Gardens,21547.8,5948,5948,2023-06-12 09:04:02+00:00,56.9,147.8,160.0,5948,21547.8,,1,1147.0,oauth,2023,6,0,9,4.600624348348014,21.5478,99.13333333333334,False,21-42km
2525,9153043672,SMC 1/2 ,21102.7,5646,5646,2023-05-28 07:02:11+00:00,82.0,166.2,184.0,5646,21102.7,,1,1152.0,oauth,2023,5,6,7,4.4591450383126325,21.102700000000002,94.1,False,21-42km
2526,9055514899,UTA22,22967.3,10175,10174,2023-05-12 06:46:17+00:00,997.0,155.7,192.0,10174,22967.3,,1,1145.0,oauth,2023,5,4,6,7.3829604118318946,22.967299999999998,169.56666666666666,False,21-42km
4179,9023951326,SYDNEY 10KM,10164.4,3152,3146,2023-05-07 07:45:34+00:00,101.6,,,3146,10164.4,,1,1025.0,oauth,2023,5,6,7,5.158527147036061,10.164399999999999,52.43333333333333,False,10-15km
686,9024042362,Sydney 10 - 46:37,9910.7,2797,2797,2023-05-07 07:45:26+00:00,33.0,153.5,173.0,2797,9910.7,,1,765.0,oauth,2023,5,6,7,4.703670443729168,9.9107,46.61666666666667,False,5-10km
